course_id,course_title,course_description,course_category,estimated_duration,difficulty_level,prerequisites,module_id,module_title,module_description,module_duration,module_order,lesson_id,lesson_title,lesson_content,lesson_type,lesson_duration,lesson_order,learning_objectives,video_url,quiz_questions
SEC001,Advanced Security Awareness Training,Comprehensive security training covering threats detection and incident response,Security,120,Intermediate,Basic security knowledge,MOD001,Introduction to Data Security,Overview of data security principles and importance in the workplace,40,1,LES001,Understanding Data Classification,Data classification is the foundation of any security program. Organizations handle various types of information from public marketing materials to highly confidential trade secrets. Proper classification ensures that appropriate security measures are applied to each type of data. The most common classification levels are Public Internal Confidential and Restricted. Public information can be shared freely with anyone. Internal information is for organizational use only. Confidential information requires special handling and access controls. Restricted information demands the highest level of protection with strict access limitations.,Video,15,1,Learn data classification levels and security principles,https://www.youtube.com/embed/kcckpWgkhP0,"What are the four common data classification levels?|Public, Internal, Confidential, Restricted|Public and Private Only|Internal and External|Secure and Insecure~Why is data classification important for security?|It helps apply appropriate security measures to different types of information|It increases storage capacity|It reduces network bandwidth|It prevents all cyber attacks~Which classification level requires the highest protection?|Restricted|Confidential|Internal|Public~What should be done with Public data?|It can be shared freely with anyone|It should be locked away|It requires encryption|It needs approval for access~Which classification requires special handling and access controls?|Confidential|Public|Restricted|Internal"
SEC001,Advanced Security Awareness Training,Comprehensive security training covering threats detection and incident response,Security,120,Intermediate,Basic security knowledge,MOD001,Introduction to Data Security,Overview of data security principles and importance in the workplace,40,1,LES002,Common Security Threats,Cybersecurity threats have evolved significantly in recent years becoming more sophisticated and targeted. Understanding common attack vectors is crucial for maintaining organizational security. Phishing emails remain one of the most prevalent threats often appearing legitimate while attempting to steal credentials or install malware. Ransomware attacks have increased dramatically encrypting critical data and demanding payment for recovery. Social engineering techniques exploit human psychology to gain unauthorized access to systems and information.,Interactive,25,2,Recognize common security threats and understand attack methods used by cybercriminals,https://www.youtube.com/embed/8aulMPhE12g,Which type of attack uses psychological manipulation to gain access?|Social engineering|Malware injection|Brute force|DDoS attack~What is the primary goal of ransomware?|Encrypt data and demand payment for recovery|Steal personal information|Monitor user activities|Delete system files~What makes Advanced Persistent Threats particularly dangerous?|They remain undetected for long periods while gathering information|They attack randomly|They are easy to detect|They affect only small companies~Which attack method is most commonly used in data breaches?|Social engineering and phishing|Ransomware|Hardware failure|Network outage~How do phishing emails typically appear?|They appear legitimate while attempting to steal credentials|They have obvious spelling errors|They are always from unknown senders|They contain no links
SEC001,Advanced Security Awareness Training,Comprehensive security training covering threats detection and incident response,Security,120,Intermediate,Basic security knowledge,MOD002,Password Security,Best practices for creating secure passwords and access management,40,2,LES003,Password Best Practices,Strong passwords are the first line of defense against unauthorized access and cyber attacks. A robust password should be at least 12 characters long to provide adequate security against brute force attacks. It must include a combination of uppercase letters lowercase letters numbers and special characters to maximize complexity. Avoid using personal information such as names birthdays addresses or phone numbers that can be easily guessed or researched through social media.,Video,20,1,Create and manage secure passwords effectively,https://www.youtube.com/embed/AwEKWOa0P2c,"What is the minimum recommended length for a secure password?|At least 12 characters|6 characters|8 characters|16 characters~What should be included in a strong password combination?|Uppercase, lowercase, numbers, and special characters|Only uppercase letters|Only numbers|Only special characters~What is a passphrase in password security?|A sequence of random words that are easy to remember but hard to crack|A single long word|A date and time combination|A name followed by a number~Why should you avoid using personal information in passwords?|Because it is easy for attackers to guess or research|Because it makes passwords stronger|Because personal info is always secure|Because it slows down login~Which of these is NOT recommended in password creation?|Your birthdate or anniversary|Random special characters|Mix of uppercase and lowercase|Long combinations with numbers"
SEC001,Advanced Security Awareness Training,Comprehensive security training covering threats detection and incident response,Security,120,Intermediate,Basic security knowledge,MOD002,Password Security,Best practices for creating secure passwords and access management,40,2,LES004,Two-Factor Authentication,Two-factor authentication adds an essential layer of security beyond traditional passwords by requiring multiple forms of verification. This security method requires two different authentication factors something you know like a password and something you have like a phone or token or something you are like biometric data. The most common 2FA methods include SMS text messages authenticator apps and hardware security keys.,Interactive,20,2,Implement and understand multi-factor authentication systems,https://www.youtube.com/embed/8aulMPhE12g,"What does two-factor authentication require?|Multiple forms of authentication|Only a single password|User login credentials only|Email verification only~Which 2FA method provides the highest level of security?|Hardware security keys|SMS text messages|Email notifications|Phone calls~How often do authenticator app codes typically change?|Every 30 seconds|Every 60 seconds|Every 5 minutes|Every hour~What is something you have in 2FA context?|A phone, security token, or hardware key|A username|A password|A PIN number~Why is 2FA more secure than passwords alone?|Because even if password is compromised, attacker still needs second factor|Because passwords are unnecessary|Because it prevents all hacking|Because it eliminates passwords"
SEC001,Advanced Security Awareness Training,Comprehensive security training covering threats detection and incident response,Security,120,Intermediate,Basic security knowledge,MOD003,Privacy Compliance,Understanding privacy regulations and compliance requirements,40,3,LES005,GDPR and Privacy Laws,The General Data Protection Regulation GDPR represents a comprehensive privacy framework that affects organizations worldwide regardless of their location. GDPR applies to any organization that processes personal data of EU residents creating global compliance requirements. Key principles include lawful basis for processing data minimization accuracy storage limitation integrity confidentiality and accountability. Individual rights under GDPR include the right to access personal data rectification of inaccurate data erasure also known as right to be forgotten data portability and the right to object to processing.,Scenario,15,1,Understand GDPR requirements and privacy obligations,https://www.youtube.com/embed/8aulMPhE12g,What is the maximum fine under GDPR?|4% of revenue or €20 million whichever is higher|2% of revenue|€10 million|1% of revenue~Within how many hours must data breaches be reported to authorities?|72 hours|24 hours|7 days|30 days~When is a Data Protection Officer appointment required?|For high-risk data processing activities|For all organizations|Only for large companies|Never required~Which right allows users to request their data?|Right of access|Right to delete|Right to refuse|Right to appeal~What does the right to be forgotten mean?|The right to erasure of personal data|The right to change privacy settings|The right to export data|The right to remain anonymous
SEC002,Incident Response Mastery,Advanced training for security incident response and crisis management,Security,180,Advanced,Intermediate security knowledge,MOD004,Incident Detection and Response,Learn to identify and respond to security incidents effectively,60,1,LES006,Incident Response Fundamentals,Effective incident response requires a structured approach that balances speed with thoroughness to minimize damage and recovery time. The incident response lifecycle consists of six critical phases preparation identification containment eradication recovery and lessons learned. Preparation involves establishing comprehensive policies procedures response teams and communication plans before incidents occur.,Video,30,1,Master the incident response lifecycle and key principles,https://www.youtube.com/embed/B9RgBpsgBkA,"What are the six phases of the incident response lifecycle?|Preparation, identification, containment, eradication, recovery, lessons learned|Planning, detection, action, solution, restoration, review|Start, scan, stop, suppress, settle, secure|Prepare, alert, control, eliminate, restore, reflect~What is the primary goal of the containment phase?|Limit scope and impact while preserving evidence|Erase all evidence of the attack|Notify all users immediately|Shut down the entire network~Why is preparation crucial for incident response?|It establishes policies, procedures, and teams before incidents occur|It guarantees no incidents will happen|It prevents all security breaches|It eliminates the need for other phases~Which phase involves removing the threat and closing vulnerabilities?|Eradication|Identification|Containment|Recovery~What is the focus of the lessons learned phase?|Capturing insights to improve future response capabilities|Punishing responsible parties|Deleting incident records|Issuing public statements"
SEC002,Incident Response Mastery,Advanced training for security incident response and crisis management,Security,180,Advanced,Intermediate security knowledge,MOD004,Incident Detection and Response,Learn to identify and respond to security incidents effectively,60,1,LES007,Crisis Communication,Crisis communication during security incidents requires careful balance between transparency and operational security to maintain stakeholder trust. Stakeholder communication should be timely accurate and consistent across all channels including internal teams customers partners regulators and media. Internal communications must keep employees informed while maintaining operational security and preventing panic that could worsen the situation.,Scenario,30,2,Execute proper communication strategies during security incidents,https://www.youtube.com/embed/8aulMPhE12g,"What should be prioritized in crisis communication during incidents?|Timely, accurate, and consistent messaging across all channels|Keeping all details secret from the public|Blaming external factors only|Avoiding any formal statements~Why should communication templates be prepared in advance?|To enable rapid response during high-stress situations|To prevent anyone from speaking|To ensure legal liability|To reduce transparency~What role does legal review play in external communications?|Ensures compliance and appropriate disclosure while protecting legal interests|It prevents all communication|It guarantees complete transparency|It eliminates the need for IT involvement~Who should be designated to communicate during crises?|Trained spokespeople who can explain technical concepts|Any available employee|Only the CEO|External consultants only~Why is monitoring social media important during crises?|To address misinformation quickly|To increase publicity|To silence all criticism|To avoid stakeholders"
SEC003,Executive Security Leadership,Strategic security training for senior executives and decision makers,Security,240,Expert,Management experience,MOD005,Strategic Security Planning,Develop comprehensive security strategies aligned with business objectives and risk appetite,80,1,LES008,Security Risk Management,Executive-level security risk management requires understanding the intersection of cybersecurity and business strategy to make informed investment decisions. Risk assessment must consider not only technical vulnerabilities but also business impact regulatory requirements competitive positioning and stakeholder expectations.,Video,40,1,Develop strategic approaches to enterprise security risk management,https://www.youtube.com/embed/8aulMPhE12g,"How should security investments be justified to executives?|Through clear business cases showing value creation and risk reduction|By showing technical specifications only|By comparing to competitors|By using complex terminology~What factors should executive risk assessment consider beyond technical vulnerabilities?|Business impact, regulatory requirements, and competitive positioning|Only network topology|Only firewall rules|Only antivirus software~Why must board reporting translate technical risks into business language?|To enable informed decision-making about risk and resource allocation|To hide technical problems|To simplify all complexity|To avoid IT involvement~What is risk appetite?|The level of risk an organization is willing to tolerate|The amount of money spent on security|The number of employees in security|The number of incidents per year~Which metrics are most important for security ROI?|Risk reduction, compliance achievement, and incident prevention|Antivirus signatures|Software licenses|Hardware purchases"
SEC003,Executive Security Leadership,Strategic security training for senior executives and decision makers,Security,240,Expert,Management experience,MOD005,Strategic Security Planning,Develop comprehensive security strategies aligned with business objectives and risk appetite,80,1,LES009,Regulatory Compliance Strategy,Navigating the complex landscape of cybersecurity regulations requires strategic planning and cross-functional coordination to ensure comprehensive compliance. Organizations must understand applicable regulations such as GDPR for privacy CCPA for California residents HIPAA for healthcare data SOX for financial reporting.,Interactive,40,2,Create comprehensive regulatory compliance strategies for complex organizational environments,https://www.youtube.com/embed/8aulMPhE12g,"Which regulations might apply to a multinational healthcare technology company?|GDPR, HIPAA, SOX, and industry-specific requirements|Only HIPAA|Only GDPR|Only SOX~What should privacy impact assessments accomplish?|Identify and mitigate privacy risks in new projects|Increase data collection|Bypass privacy laws|Simplify compliance processes~How can executives ensure compliance enhances business?|By championing integrated compliance strategies aligned with objectives|By minimizing compliance efforts|By ignoring regulatory changes|By outsourcing all compliance~What does CCPA primarily protect?|Personal data of California residents|Health information only|Financial information only|Employee records only~Which regulation focuses on financial reporting accuracy?|SOX - Sarbanes-Oxley Act|GDPR|CCPA|HIPAA"
LDP002,Leadership Development Program,Comprehensive leadership training focusing on management skills and team building,Leadership,240,Advanced,2+ years management experience,LDP002-M01,Foundations of Leadership,Core leadership principles and understanding different leadership approaches,60,1,LDP002-L01,Leadership Styles Assessment,"Interactive assessment to identify your dominant leadership style among transformational, transactional, servant, and situational leadership frameworks. Includes feedback simulation and development planning.",Assessment,30,1,Identify your leadership style and understand when to adapt your approach,https://www.youtube.com/embed/jZrKMVrVxF8,Which leadership style is most effective during organizational change?|Transformational leadership|Transactional leadership|Autocratic leadership|Laissez-faire leadership~What is transactional leadership focused on?|Clear expectations and reward-based motivation|Employee development only|Relationship building|Vision creation~When should you use situational leadership?|When adapting your style to employee maturity and task requirements|When managing only new employees|When making quick decisions|When avoiding difficult conversations~Which leadership style emphasizes employee development?|Servant leadership|Command and control|Directive leadership|Competitive leadership~What does transformational leadership inspire?|Vision and intrinsic motivation in team members|Fear and compliance|Minimal engagement|Passive participation
